ProxyAddress,ContractBeforeAddress,ContractAfterAddress,Fixed_Vulnerabilities,ReviewA_Label,ReviewB_Label,Final_Label,Justification
0x4013f4366beeccb04d2462b061b0c78499ee8ffd,0xe4caf03246ab1740bd015b88d253befc7c2f742d,0x2358ba6403ec7c790e0c5b1ce227e10d2ba29af6,"Gas-Related Issues, SWC-101: Integer Overflow and Underflow",Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed; Upgraded to Solidity ^0.8.x with checked arithmetic"
0x40154ad8014df019a53440a60ed351dfba47574e,0x5c825f015034d9bd744c601e53806ccffd08a0ca,0x3bd85df9633ef0205206bb519e4ddee152bb0005,"SWC-116: Block values as a proxy for time, Gas-Related Issues, Ownership Transfer Issues",Yes,Yes,Yes,"Time logic moved to TimelockController or validated off-chain; Loops refactored, prefix ++i used, redundant zero-inits removed; Implemented Ownable2Step accept-and-claim flow"
0x229e09d943a94c162a662ba0ffbcad21521b477a,0xf9ee95d62eb4b6556ed5dea1deec0c92bb6331f2,0xf019d979492529d5b5dbc1e0e2af7dd44b4e2066,Gas-Related Issues,Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed"
0x1f19fed33a761a3ee1f1d37cd10010b5143f340a,0xc08d313c7b99da53b533e8de9211c27fce23011a,0x534d36bd2bd63c013dcc8428bc399c2e28a452d2,Gas-Related Issues,Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed"
0xb9d1dc019fd2f716732e97e2af42d292711baa01,0xe70e6c9290ff52d01ba3bd95c49d849d632e561a,0x9c05e66521fd3d42006e8d463b5fdf623bbe015b,Gas-Related Issues,Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed"
0x37310ee55d433e51530b3efe41990360d6dbcfc3,0x2bb1538a70a3edc53d0a52103fa7f2f1a195290f,0x2641c54d0dc16d52714dab11e02c745de8254f35,Gas-Related Issues,Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed"
0x1703fea13672dfe8899e44c21f7e0b626550d08d,0xdc903082ff552ba326ea8278d24376674817e05b,0x965060fd4bd2dd8568d206bedf3ddb76628d3456,Inefficient Return Values,No,Yes,No,
0x01bfd82675dbcc7762c84019ca518e701c0cd07e,0xffd3dacf5a877e50367c8536a5254273f2ff0246,0xcafea0047591b979c714a63283b8f902554deb66,Inefficient Return Values,No,No,No,
0xdc68aea804353cff33474a5911d2bc3a3b5949b8,0xf43c9fed8894ead3712897899e5c69dd437a503d,0xfc7d43e054d950bffb8f0fff48bfcfaafb890cbe,Inefficient Return Values,No,No,No,
0x3e3589f7337551256dafe3df3695f92e605047bc,0x48ac5fca9c72d72299ff68a856673dca4f811539,0xd80593cdd80724026e481a3d5c823dfe65846532,Inefficient Return Values,No,No,No,
0x6efc003d3f3658383f06185503340c2cf27a57b6,0xc83273159cb78c9f1edd491944e4a7599e20c4ca,0xdd1a22a466509ea89ae283766e7ddf766d0515a6,Inefficient Return Values,No,No,No,
0x17a4d75c4964704f3a27b7ae5b94c39770c23a30,0xef543229be38c10f4d705e51b1f95d5077bcbe73,0xc95718babe4c0c6f74fabed006866c1cfa2edd74,"Gas-Related Issues, SWC-110: Assert Violation",Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed; Converted assert() to require() with revert message"
0x4c6f947ae67f572afa4ae0730947de7c874f95ef,0x9685e7281fb1507b6f141758d80b08752faf0c43,0xe057511d06d5dc94cf66fc04fab1efe3043daf05,"Gas-Related Issues, SWC-101: Integer Overflow and Underflow",Yes,Yes,Yes,"Loops refactored, prefix ++i used, redundant zero-inits removed; Upgraded to Solidity ^0.8.x with checked arithmetic"
0xee5ec95ce2c8700a2d152db3249fa13b163f0073,0x7a77231abe02359e0386dfea3b47124e36d44a51,0x54449cd454ba2be50dc9d1ac9bb83a503c908d74,Arithmetic Issues,No,No,No,
0x02651e355d26f3506c1e644ba393fdd9ac95eaca,0x9810e2949de1e2c12d576c0d6d7af0f925c07bd8,0xcc06b51b8152520634d3640f40533bedbb22af65,Permission Issues,No,No,No,
0x5c588436972621a3ca7006da20e76021e0d4ffc1,0x761371dc932e33aaddb65c0775bd6e6b4433f1e4,0x8de3336c4eb3bf8b5a0060484487c660ef95ef7f,Permission Issues,No,No,No,
0xa4282798c2199a1c58843088297265acd748168c,0x486e92ad3fbbd5feef38ca8e6398d866daa14ab2,0x9da48247d25c008ef446b507e0b07e304c3cf156,Permission Issues,No,No,No,
0x1f15f293c1cd3d05d58d3edeaf0c72c5a2dfeaff,0x81cbc2e0a9d8bd3b1976e1292cc08762433f1f9e,0x61b3bb68bbd8e6550aa13bee806e7a63d24f183f,SWC-120: Weak Sources of Randomness from Chain Attributes,No,No,No,
0xb7532cf6b31e89a21e94a6d0e294d460aea4bc28,0x9264c44d4d847b873630dd828a136e4affa16e2b,0x14e8f381303d0e849094b212d614240dbe7c73da,Improper Code Practices,No,No,No,
0x01b67b1194c75264d06f808a921228a95c765dd7,0x57e1a87603bd1960d734243f8b2f5133911e009d,0x409bf77a8e3fe384497227ea508029b5364933de,"SWC-132: Unexpected Ether Balance, SWC-101: Integer Overflow and Underflow",No,No,No,
0x0309c98b1bffa350bcb3f9fb9780970ca32a5060,0x97f8d3a42f09f31e9f2180c064fed9f4a8b28334,0xf75c5733bc41206b88738bbcf618cafccf3d96d9,Improper Return Value Handling,No,No,No,
0x785c34312dfa6b74f6f1829f79ade39042222168,0xf58e20e94a9d946037724a13ff83d5f57152d76f,0x2a3fbdd4e77f9be9da38f40640aa5f09ac0d7165,Ownership Transfer Issues,No,No,No,
0x2796317b0ff8538f253012862c06787adfb8ceb6,0x64f80a3b1ac0d394d652df0becfbea9db2320782,0x9007a80247d23cc5c213a6dacb385c632c4e19f2,SWC-101: Integer Overflow and Underflow,No,No,No,
0x1a50be5dc5dd721f3e337816b23002c9c5e4b812,0xcf68f7450f14a88bbb66173da4eaa924d4e9d1b9,0xd951bfc09a7ec90ee6331564a0d62c8cb8a86fe9,"SWC-132: Unexpected Ether Balance, SWC-101: Integer Overflow and Underflow",No,No,No,
0xe66e45f987adf2b04f43fe5ba2dc398f7832708c,0x74605e3ed4dfbf671ab884727628a276af6c4856,0x4f2054bacbb56ed94e831e4af1116cb96885bcf2,SWC-100: Function Default Visibility,No,No,No,
0x00182fdb0b880ee24d428e3cc39383717677c37e,0xaea7b7dd60308e2c8d01e7bfcbb676781a58a23c,0x760419d5763f8994e802a83a82fcfffa36ffd4ee,Incorrect Coding Practices,No,No,No,
0x2962585a6cfba0af6687952eca76190d3e4c67e5,0x1bff99504e2caa5b6c0d80e0d7b78ca6b1505b3a,0x255127d273b6ad8f18a81ae3b7319608d50a4759,Incorrect Coding Practices,No,No,No,
0x98d5bd6f3932b1cc4f979f93979308e6e9ce1e6f,0xd1400b2bab3c1b14c071c9881d525ddd54bbbead,0x301756781bc6a910e89103a02ba72bada6e32146,SWC-108: State Variable Default Visibility,No,No,No,
0x9b7a60e76f59037d152adbbafa8c6db591b274ac,0xf1349c4c195b76d7e3514f87c088bac43941935f,0xa8764d8c8c032b032b5724c521b278a8c234154e,SWC-112: Delegatecall to Untrusted Callee,No,No,No,
0x1ff7e338d5e582138c46044dc238543ce555c963,0xa0fc58a2e1b8484ab2bd39349f0070b10075f7da,0x4fdbf2259002c0ab88866955f430165a2e092117,SWC-102: Outdated Compiler Version,No,No,No,
0xc6971260efdfd0fffc4fb6e9fe18faf2e2de56d5,0xfd1b4dc1f3d2a6ac86bfcc53246d06723b91c9b5,0xaaf3e843b0bf497c56e9fbf59b494ef3418dadaa,SWC-107: Reentrancy,No,No,No,
0xc0b1eb6678631196d681680fd78ce2882860c064,0xf941d3be8769263e6f9f6c33b6dc01cc208bf514,0x6c8f52d7eca8cb3866bb5cf0626493b40ad293b9,SWC-104: Unchecked Call Return Value,No,No,No,
0x0955a73d014f0693ac7b53cfe77706dab02b3ef9,0x9d55293065e3d2676f0c71b581aa1a1611598248,0x82354b770c4c09ea63e7d2eac938a0dd2c0806f0,SWC-110: Assert Violation,No,No,No,
0x39ee2c7b3cb80254225884ca001f57118c8f21b6,0xd87026a5f3e204bd3825d6c0033437b6fb1bb3a9,0xb20a17d9dd7b190e129faef2b31808b0f7bc944a,SWC-103: Floating Pragma,No,No,No,
0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0xc9fe4ffc4be41d93a1a7189975cd360504ee361a,0xe7c29cba93ef8017c7824dd0f25923c38d08065c,SWC-132: Unexpected Ether Balance,No,No,No,
0x79d5a4c17d6368f31c3518813f9324e7a60963d8,0xf59ff1cb63080cb91982f108e910c0c5642f846b,0x99ca4cd1486fb3e4c284feaa6b7d8efe1b6d438c,Lack of Verification,No,No,No,
0x0ef5a21aa062ba49c9c429b256d618d68fd2e008,0xe692dc3ab9eef3b61efd4fc9c883a2f76bc81735,0x4871797bb4c98b930bcfc01d99a113acc6ae45a2,SWC-115: Authorization through tx.origin,No,No,No,
0x1ef7a557cfa8436ee08790e3f2b190b8937fda0e,0x52c1e7e4bb6ffd5230c389be5f186403c4be2f2d,0xd5ba57863ac61602e96f88a934ef388ef08119fc,SWC-101: Integer Overflow and Underflow,No,No,No,
0x688c3e4658b5367da06fd629e41879beab538e37,0xea478ec1dc4c7241b0d2a7dd82ecccecf95ba71d,0x0e3ab439db6504df11d19a2bc9107bdd6994ff3b,SWC-110: Assert Violation,No,No,No,
0x66329fdd4042928bfcab60b179e1538d56eeeeee,0x693b8dbb906f64688c004cec82a9e1b21dadd58a,0xe0ad31f4d135074e52c9bbecb0fa2f3605575e58,Unused Variables,No,No,No,
